dbn,the_geom,NAME,STREETNAME,HOUSENUM,CITY,ZIP,URL,BIN,BBL,X,Y,SYSTEM,BOROCODE,longitude,latitude
4312065,POINT (-73.88085934625774 40.71293387617611),Middle Village,Metropolitan Avenue,72-31,Middle Village,11379,http://www.queenslibrary.org/branch/Middle-Village?filters=ev_loc:94000000,4312065,4030577501,1017279.0,199040.0,QPL,4,-73.88085934625774,40.71293387617611
4535108,POINT (-73.82694112165963 40.76914153216748),Mitchell-Linden,Union Street,31-32,Flushing,11354,http://www.queenslibrary.org/branch/Mitchell-Linden?filters=ev_loc:94100000,4535108,4044147504,1032186.11111,219543.125,QPL,4,-73.82694112165963,40.76914153216748
4076687,POINT (-73.85367250555949 40.711156858305394),North Forest Park,Metropolitan Avenue,98-27,Forest Hills,11375,http://www.queenslibrary.org/branch/North-Forest-Park?filters=ev_loc:96800000,4076687,4032070022,1024817.0,198404.0,QPL,4,-73.85367250555949,40.711156858305394
4171760,POINT (-73.73183792044951 40.75925363922453),North Hills,Marathon Parkway,57-04,Little Neck,11362,http://www.queenslibrary.org/branch/North-Hills?filters=ev_loc:94200000,4171760,4082760657,1058540.0,216007.0,QPL,4,-73.73183792044951,40.75925363922453
4189526,POINT (-73.84648846296761 40.680867178856886),Ozone Park <br> (Closed for renovations),Rockaway Boulevard,92-24,Ozone Park,11417,http://www.queenslibrary.org/branch/Ozone-Park?filters=ev_loc:94300000,4189526,4091130030,1026828.0,187372.0,QPL,4,-73.84648846296761,40.680867178856886
4303629,POINT (-73.81606502823946 40.58586414713836),Peninsula,Rockaway Beach Boulevard,92-25,Rockaway Beach,11693,http://www.queenslibrary.org/branch/Peninsula?filters=ev_loc:94400000,4303629,4161350013,1035338.9184,152776.168396,QPL,4,-73.81606502823946,40.58586414713836
4438294,POINT (-73.81009488691065 40.732925077255004),Pomonok,Jewel Avenue,158-21,Flushing,11365,http://www.queenslibrary.org/branch/Pomonok?filters=ev_loc:94500000,4438294,4067900022,1036881.0,206358.0,QPL,4,-73.81009488691065,40.732925077255004
4097863,POINT (-73.84601807353184 40.786213103407846),Poppenhusen,14 Avenue,121-23,College Point,11356,http://www.queenslibrary.org/branch/Poppenhusen?filters=ev_loc:94600000,4097863,4040420113,1026891.0,225753.0,QPL,4,-73.84601807353184,40.786213103407846
4000000,POINT (-73.75351240691268 40.60239019036059),Queens Library for Teens,Cornaga Avenue,2002,Far Rockaway,11691,http://www.queenslibrary.org/branch/Queens-Library-for-Teens?filters=ev_loc:91309134,4000000,4157040001,1052696.2604200002,158839.6875,QPL,4,-73.75351240691268,40.60239019036059
4226761,POINT (-73.73904906070274 40.7198883271777),Queens Village,217 Street,94-11,Queens Village,11428,http://www.queenslibrary.org/branch/Queens-Village?filters=ev_loc:91900000,4226761,4106210012,1056585.0,201659.0,QPL,4,-73.73904906070274,40.7198883271777
4140176,POINT (-73.82516996389201 40.74293094649011),Queensboro Hill,Main Street,60-05,Flushing,11355,http://www.queenslibrary.org/branch/Queensboro-Hill?filters=ev_loc:96900000,4140176,4064050050,1032695.76793,209994.749024,QPL,4,-73.82516996389201,40.74293094649011
4595582,POINT (-73.94424078652605 40.755073718041466),Queensbridge <br> Now a Family Literacy Center,41 Avenue,10-43,LIC,11101,http://www.queenslibrary.org/branch/Queensbridge?filters=ev_loc:94700000,4595582,4004700100,999698.1875,214375.322917,QPL,4,-73.94424078652605,40.755073718041466
4430693,POINT (-73.93640396909242 40.76067995120377),Ravenswood <br> Now a Family Literacy Center,21 Street,35-32,LIC,11106,http://www.queenslibrary.org/branch/Ravenswood?filters=ev_loc:94800000,4430693,4003320002,1001867.90839,216419.335205,QPL,4,-73.93640396909242,40.76067995120377
4072812,POINT (-73.86450282598912 40.72731656026829),Rego Park,63 Drive,91-41,Rego Park,11374,http://www.queenslibrary.org/branch/Rego-Park?filters=ev_loc:92000000,4072812,4031030043,1021805.35926,204286.63773599998,QPL,4,-73.86450282598912,40.72731656026829
4193458,POINT (-73.83164233461157 40.70079720332697),Richmond Hill,Hillside Avenue,118-14,Richmond Hill,11418,http://www.queenslibrary.org/branch/Richmond-Hill?filters=ev_loc:94900000,4193458,4092640056,1030931.76581,194640.643799,QPL,4,-73.83164233461157,40.70079720332697
